DESCRIPTIO,NAME,NAME_FR,WARD_NUM,WARD_EN,WARD_FR,COUNCILLOR,WARD_NAME_,WIKIDATA,WARD_NAME1,WARD_NUMBE,SHAPE_Leng,SHAPE_Area,MS_FB,MS_FB_PARE
KANATA SOUTH - Allan Hubley,Ward 23,Quartier 23,23,KANATA SOUTH,KANATA-SUD,Allan Hubley,Kanata South,Q6360723,Kanata-Sud,23,19871.78583090000,16418739.58819999918,country:ca/csd:3506008/ward:23,country:ca/csd:3506008
BAY - Mark Taylor,Ward 7,Quartier 7,7,BAY,BAIE,Mark Taylor,Bay,Q4874163,Baie,7,39722.03234710000,64174613.78869999945,country:ca/csd:3506008/ward:7,country:ca/csd:3506008
OSGOODE - George Darouze,Ward 20,Quartier 20,20,OSGOODE,OSGOODE,George Darouze,Osgoode,Q14875376,Osgoode,20,105838.74232100000,463561580.89499998093,country:ca/csd:3506008/ward:20,country:ca/csd:3506008
BEACON HILL-CYRVILLE - Tim Tierney,Ward 11,Quartier 11,11,BEACON HILL-CYRVILLE,BEACON HILL-CYRVILLE,Tim Tierney,Beacon Hill-Cyrville,Q4875947,Beacon Hill-Cyrville,11,26012.65108430000,19598778.37480000034,country:ca/csd:3506008/ward:11,country:ca/csd:3506008
COLLEGE - Rick Chiarelli,Ward 8,Quartier 8,8,COLLEGE,COLLÈGE,Rick Chiarelli,College,Q5146574,Collège,8,40055.35718350000,46077373.44680000097,country:ca/csd:3506008/ward:8,country:ca/csd:3506008
GLOUCESTER-SOUTH NEPEAN - Michael Qaqish,Ward 22,Quartier 22,22,GLOUCESTER-SOUTH NEPEAN,GLOUCESTER-NEPEAN-SUD,Michael Qaqish,Gloucester-South Nepean,Q5572003,Gloucester-Nepean-Sud,22,45545.49608820000,37013497.11969999969,country:ca/csd:3506008/ward:22,country:ca/csd:3506008
KANATA NORTH - Marianne Wilkinson,Ward 4,Quartier 4,4,KANATA NORTH,KANATA-NORD,Marianne Wilkinson,Kanata North,Q6360719,Kanata-Nord,4,25997.77003750000,24235080.59530000016,country:ca/csd:3506008/ward:4,country:ca/csd:3506008
KNOXDALE-MERIVALE - Keith Egli,Ward 9,Quartier 9,9,KNOXDALE-MERIVALE,KNOXDALE-MERIVALE,Keith Egli,Knoxdale-Merivale,Q6423634,Knoxdale-Merivale,9,36533.31687420000,47513023.65839999914,country:ca/csd:3506008/ward:9,country:ca/csd:3506008
RIVER - Riley Brockington,Ward 16,Quartier 16,16,RIVER,RIVIÈRE,Riley Brockington,River,Q7337950,Rivière,16,32244.19149840000,26892629.93980000168,country:ca/csd:3506008/ward:16,country:ca/csd:3506008
CAPITAL - David Chernushenko,Ward 17,Quartier 17,17,CAPITAL,CAPITALE,David Chernushenko,Capital,Q5035684,Capitale,17,19243.22563820000,10961789.08650000021,country:ca/csd:3506008/ward:17,country:ca/csd:3506008
KITCHISSIPPI - Jeff Leiper,Ward 15,Quartier 15,15,KITCHISSIPPI,KITCHISSIPPI,Jeff Leiper,Kitchissippi,Q6418084,Kitchissippi,15,16441.44468520000,15130226.04890000075,country:ca/csd:3506008/ward:15,country:ca/csd:3506008
GLOUCESTER-SOUTHGATE - Diane Deans,Ward 10,Quartier 10,10,GLOUCESTER-SOUTHGATE,GLOUCESTER-SOUTHGATE,Diane Deans,Gloucester-Southgate,Q5572005,Gloucester-Southgate,10,45788.22226000000,76159003.04549999535,country:ca/csd:3506008/ward:10,country:ca/csd:3506008
ALTA VISTA - Jean Cloutier,Ward 18,Quartier 18,18,ALTA VISTA,ALTA VISTA,Jean Cloutier,Alta Vista,Q4736016,Alta Vista,18,19302.22084060000,20433121.10029999912,country:ca/csd:3506008/ward:18,country:ca/csd:3506008
SOMERSET - Catherine McKenney,Ward 14,Quartier 14,14,SOMERSET,SOMERSET,Catherine McKenney,Somerset,Q7559914,Somerset,14,11458.28432370000,6380164.70866999961,country:ca/csd:3506008/ward:14,country:ca/csd:3506008
STITTSVILLE - Shad Qadri,Ward 6,Quartier 6,6,STITTSVILLE,STITTSVILLE,Shad Qadri,Stittsville,Q7617682,Stittsville,6,22036.36772020000,23212974.82829999924,country:ca/csd:3506008/ward:6,country:ca/csd:3506008
RIDEAU-VANIER - Mathieu Fleury,Ward 12,Quartier 12,12,RIDEAU-VANIER,RIDEAU-VANIER,Mathieu Fleury,Rideau-Vanier,Q7332561,Rideau-Vanier,12,15172.59042380000,7951860.25930999964,country:ca/csd:3506008/ward:12,country:ca/csd:3506008
RIDEAU-ROCKCLIFFE - Tobi Nussbaum,Ward 13,Quartier 13,13,RIDEAU-ROCKCLIFFE,RIDEAU-ROCKCLIFFE,Tobi Nussbaum,Rideau-Rockcliffe,Q7332560,Rideau-Rockcliffe,13,25921.09428360000,19838707.16310000047,country:ca/csd:3506008/ward:13,country:ca/csd:3506008
INNES - Jody Mitic,Ward 2,Quartier 2,2,INNES,INNES,Jody Mitic,Innes,Q14875206,Innes,2,33018.16531850000,40385597.67400000244,country:ca/csd:3506008/ward:2,country:ca/csd:3506008
ORLÉANS - Bob Monette,Ward 1,Quartier 1,1,ORLÉANS,ORLÉANS,Bob Monette,Orléans,Q7103343,Orléans,1,29237.16511280000,25385948.95899999887,country:ca/csd:3506008/ward:1,country:ca/csd:3506008
CUMBERLAND - Stephen Blais,Ward 19,Quartier 19,19,CUMBERLAND,CUMBERLAND,Stephen Blais,Cumberland,Q5193981,Cumberland,19,98794.87109299999,379836566.83300000429,country:ca/csd:3506008/ward:19,country:ca/csd:3506008
RIDEAU-GOULBOURN - Scott Moffatt,Ward 21,Quartier 21,21,RIDEAU-GOULBOURN,RIDEAU-GOULBOURN,Scott Moffatt,Rideau-Goulbourn,Q7332557,Rideau-Goulbourn,21,131359.05825599999,736559935.94299995899,country:ca/csd:3506008/ward:21,country:ca/csd:3506008
WEST CARLETON-MARCH - Eli El-Chantiry,Ward 5,Quartier 5,5,WEST CARLETON-MARCH,WEST CARLETON-MARCH,Eli El-Chantiry,West Carleton – March,Q7984656,West Carleton – March,5,122388.21698300001,765569539.78900003433,country:ca/csd:3506008/ward:5,country:ca/csd:3506008
BARRHAVEN - Jan Harder,Ward 3,Quartier 3,3,BARRHAVEN,BARRHAVEN,Jan Harder,Barrhaven,Q4863461,Barrhaven,3,29730.22406310000,26227247.18210000172,country:ca/csd:3506008/ward:3,country:ca/csd:3506008
