Con_Name,WIKIDATA,Con_Num,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
The Battlefords,Q7715914,58,60798.85011450000,146895309.82600000501,country:ca/province:sk/ed:58,country:ca/province:sk
Kelvington-Wadena,Q6386771,14,554453.00976599997,15052168199.79999923706,country:ca/province:sk/ed:14,country:ca/province:sk
Prince Albert Carlton,Q944820,26,21366.07166730000,14901974.39990000054,country:ca/province:sk/ed:26,country:ca/province:sk
Prince Albert Northcote,Q3403303,27,58646.41895880000,54931761.11789999902,country:ca/province:sk/ed:27,country:ca/province:sk
Batoche,Q4869450,3,479806.88617999997,8406242953.93999958038,country:ca/province:sk/ed:3,country:ca/province:sk
Melfort,Q3305031,21,453152.32007800002,7855948801.93999958038,country:ca/province:sk/ed:21,country:ca/province:sk
Cut Knife-Turtleford,Q5196636,9,534271.48465500004,11124181939.79999923706,country:ca/province:sk/ed:9,country:ca/province:sk
Saskatchewan Rivers,Q7425614,42,842508.55862200004,18220823097.59999847412,country:ca/province:sk/ed:42,country:ca/province:sk
Meadow Lake,Q3215052,20,724721.50102800003,17080912583.50000000000,country:ca/province:sk/ed:20,country:ca/province:sk
Lloydminster,Q6662843,17,502458.14415200002,6168600901.60999965668,country:ca/province:sk/ed:17,country:ca/province:sk
Rosthern-Shellbrook,Q7370004,41,607312.88210299995,11434186071.20000076294,country:ca/province:sk/ed:41,country:ca/province:sk
Biggar-Sask Valley,Q24191355,4,467555.07719799998,8061208164.84000015259,country:ca/province:sk/ed:4,country:ca/province:sk
Athabasca,Q4813166,2,1927706.07626000000,156561016888.00000000000,country:ca/province:sk/ed:2,country:ca/province:sk
Cumberland,Q5193828,8,1949980.99670000002,163833755232.00000000000,country:ca/province:sk/ed:8,country:ca/province:sk
Carrot River Valley,Q5046704,7,667426.85265400005,18961218014.20000076294,country:ca/province:sk/ed:7,country:ca/province:sk
Cannington,Q5032710,5,524822.97033499996,12542851842.10000038147,country:ca/province:sk/ed:5,country:ca/province:sk
