MS_FB,MS_FB_PARE,Name,WIKIDATA
country:ca/csd:2466023/borough:1,country:ca/csd:2466023,Ahuntsic-Cartierville,Q403031
country:ca/csd:2466023/borough:2,country:ca/csd:2466023,Anjou,Q551476
country:ca/csd:2466023/borough:3,country:ca/csd:2466023,Côte-des-Neiges—Notre-Dame-de-Grâce,Q1629887
country:ca/csd:2466023/borough:4,country:ca/csd:2466023,Lachine,Q1474128
country:ca/csd:2466023/borough:5,country:ca/csd:2466023,LaSalle,Q1629121
country:ca/csd:2466023/borough:6,country:ca/csd:2466023,L'Île-Bizard—Sainte-Geneviève,Q617452
country:ca/csd:2466023/borough:7,country:ca/csd:2466023,Mercier—Hochelaga-Maisonneuve,Q1628888
country:ca/csd:2466023/borough:8,country:ca/csd:2466023,Montréal-Nord,Q1714436
country:ca/csd:2466023/borough:9,country:ca/csd:2466023,Outremont,Q2042095
country:ca/csd:2466023/borough:10,country:ca/csd:2466023,Pierrefonds-Roxboro,Q1896248
country:ca/csd:2466023/borough:11,country:ca/csd:2466023,Plateau-Mont-Royal,Q1810072
country:ca/csd:2466023/borough:12,country:ca/csd:2466023,Rivière-des-Prairies—Pointe-aux-Trembles,Q1612609
country:ca/csd:2466023/borough:13,country:ca/csd:2466023,Rosemont—La Petite-Patrie,Q1571112
country:ca/csd:2466023/borough:14,country:ca/csd:2466023,Saint-Laurent,Q2117999
country:ca/csd:2466023/borough:15,country:ca/csd:2466023,Saint-Léonard,Q1325316
country:ca/csd:2466023/borough:16,country:ca/csd:2466023,Sud-Ouest,Q1628875
country:ca/csd:2466023/borough:17,country:ca/csd:2466023,Verdun,Q518076
country:ca/csd:2466023/borough:18,country:ca/csd:2466023,Ville-Marie,Q247123
country:ca/csd:2466023/borough:19,country:ca/csd:2466023,Villeray—Saint-Michel—Parc-Extension,Q1324904
