CO_CEP,NM_CEP,WIKIDATA,NM_TRI_CEP,ELEC_2012,MS_FB,MS_FB_PARE
289,Lotbinière-Frontenac,Q3259964,LOTBINIEREFRONTENAC,53843,country:ca/province:qc/ed:289,country:ca/province:qc
653,Louis-Hébert,Q3260600,LOUISHEBERT,44263,country:ca/province:qc/ed:653,country:ca/province:qc
399,Marguerite-Bourgeoys,Q261059,MARGUERITEBOURGEOYS,51493,country:ca/province:qc/ed:399,country:ca/province:qc
213,Marie-Victorin,Q3292298,MARIEVICTORIN,46478,country:ca/province:qc/ed:213,country:ca/province:qc
407,Marquette,Q3294760,MARQUETTE,44812,country:ca/province:qc/ed:407,country:ca/province:qc
349,Maskinongé,Q3297286,MASKINONGE,47278,country:ca/province:qc/ed:349,country:ca/province:qc
465,Masson,Q3297801,MASSON,49058,country:ca/province:qc/ed:465,country:ca/province:qc
711,Matane-Matapédia,Q3298209,MATANEMATAPEDIA,47613,country:ca/province:qc/ed:711,country:ca/province:qc
103,Mégantic,Q3332790,MEGANTIC,38548,country:ca/province:qc/ed:103,country:ca/province:qc
383,Mercier,Q3306380,MERCIER,40069,country:ca/province:qc/ed:383,country:ca/province:qc
451,Mille-Îles,Q3314264,MILLEILES,41596,country:ca/province:qc/ed:451,country:ca/province:qc
495,Mirabel,Q3315793,MIRABEL,57581,country:ca/province:qc/ed:495,country:ca/province:qc
233,Montarville,Q3322449,MONTARVILLE,51772,country:ca/province:qc/ed:233,country:ca/province:qc
673,Montmorency,Q3095559,MONTMORENCY,54942,country:ca/province:qc/ed:673,country:ca/province:qc
419,Mont-Royal,Q3321617,MONTROYAL,41431,country:ca/province:qc/ed:419,country:ca/province:qc
411,Nelligan,Q3337918,NELLIGAN,56909,country:ca/province:qc/ed:411,country:ca/province:qc
329,Nicolet-Bécancour,Q3341152,NICOLETBECANCOUR,39304,country:ca/province:qc/ed:329,country:ca/province:qc
401,Notre-Dame-de-Grâce,Q3344589,NOTREDAMEDEGRACE,39652,country:ca/province:qc/ed:401,country:ca/province:qc
123,Orford,Q3355914,ORFORD,40443,country:ca/province:qc/ed:123,country:ca/province:qc
421,Outremont,Q3358665,OUTREMONT,39022,country:ca/province:qc/ed:421,country:ca/province:qc
553,Papineau,Q3362911,PAPINEAU,56794,country:ca/province:qc/ed:553,country:ca/province:qc
369,Pointe-aux-Trembles,Q3393517,POINTEAUXTREMBLES,40691,country:ca/province:qc/ed:369,country:ca/province:qc
563,Pontiac,Q3397735,PONTIAC,48697,country:ca/province:qc/ed:563,country:ca/province:qc
599,Portneuf,Q3399332,PORTNEUF,40339,country:ca/province:qc/ed:599,country:ca/province:qc
753,René-Lévesque,Q3425708,RENELEVESQUE,34575,country:ca/province:qc/ed:753,country:ca/province:qc
367,Repentigny,Q3427228,REPENTIGNY,50547,country:ca/province:qc/ed:367,country:ca/province:qc
253,Richelieu,Q3431420,RICHELIEU,44088,country:ca/province:qc/ed:253,country:ca/province:qc
283,Richmond,Q3431469,RICHMOND,57423,country:ca/province:qc/ed:283,country:ca/province:qc
703,Rimouski,Q2424346,RIMOUSKI,44073,country:ca/province:qc/ed:703,country:ca/province:qc
699,Rivière-du-Loup–Témiscouata,Q3433607,RIVIEREDULOUPTEMISCOUATA,50795,country:ca/province:qc/ed:699,country:ca/province:qc
413,Robert-Baldwin,Q3434356,ROBERTBALDWIN,54033,country:ca/province:qc/ed:413,country:ca/province:qc
783,Roberval,Q2381824,ROBERVAL,45012,country:ca/province:qc/ed:783,country:ca/province:qc
379,Rosemont,Q9648145,ROSEMONT,51073,country:ca/province:qc/ed:379,country:ca/province:qc
515,Rousseau,Q3443437,ROUSSEAU,60795,country:ca/province:qc/ed:515,country:ca/province:qc
567,Rouyn-Noranda–Témiscamingue,Q3445512,ROUYNNORANDATEMISCAMINGUE,44179,country:ca/province:qc/ed:567,country:ca/province:qc
111,Saint-François,Q3462187,SAINTFRANCOIS,55274,country:ca/province:qc/ed:111,country:ca/province:qc
393,Saint-Henri–Sainte-Anne,Q3462395,SAINTHENRISAINTANNE,53934,country:ca/province:qc/ed:393,country:ca/province:qc
263,Saint-Hyacinthe,Q3462431,SAINTHYACINTHE,57142,country:ca/province:qc/ed:263,country:ca/province:qc
189,Saint-Jean,Q3462578,SAINTJEAN,58282,country:ca/province:qc/ed:189,country:ca/province:qc
505,Saint-Jérôme,Q3462678,SAINTJEROME,54345,country:ca/province:qc/ed:505,country:ca/province:qc
417,Saint-Laurent,Q3462722,SAINTLAURENT,53585,country:ca/province:qc/ed:417,country:ca/province:qc
389,Sainte-Marie–Saint-Jacques,Q3464370,SAINTMARIESAINTJACQUES,42283,country:ca/province:qc/ed:389,country:ca/province:qc
343,Saint-Maurice,Q3462965,SAINTMAURICE,36598,country:ca/province:qc/ed:343,country:ca/province:qc
447,Sainte-Rose,Q3464415,SAINTROSE,49539,country:ca/province:qc/ed:447,country:ca/province:qc
177,Sanguinet,Q3472258,SANGUINET,38464,country:ca/province:qc/ed:177,country:ca/province:qc
113,Sherbrooke,Q3481912,SHERBROOKE,48799,country:ca/province:qc/ed:113,country:ca/province:qc
163,Soulanges,Q3491636,SOULANGES,46809,country:ca/province:qc/ed:163,country:ca/province:qc
223,Taillon,Q3514032,TAILLON,50864,country:ca/province:qc/ed:223,country:ca/province:qc
633,Taschereau,Q3515928,TASCHEREAU,49350,country:ca/province:qc/ed:633,country:ca/province:qc
453,Terrebonne,Q3518684,TERREBONNE,54100,country:ca/province:qc/ed:453,country:ca/province:qc
333,Trois-Rivières,Q3539917,TROISRIVIERES,43279,country:ca/province:qc/ed:333,country:ca/province:qc
793,Ungava,Q3549908,UNGAVA,26098,country:ca/province:qc/ed:793,country:ca/province:qc
229,Vachon,Q3553117,VACHON,48326,country:ca/province:qc/ed:229,country:ca/province:qc
639,Vanier-Les Rivières,Q3554586,VANIERLESRIVIERES,55380,country:ca/province:qc/ed:639,country:ca/province:qc
169,Vaudreuil,Q788732,VAUDREUIL,56822,country:ca/province:qc/ed:169,country:ca/province:qc
249,Verchères,Q3555763,VERCHERES,56169,country:ca/province:qc/ed:249,country:ca/province:qc
397,Verdun,Q3555824,VERDUN,47694,country:ca/province:qc/ed:397,country:ca/province:qc
427,Viau,Q3556797,VIAU,40605,country:ca/province:qc/ed:427,country:ca/province:qc
449,Vimont,Q3559344,VIMONT,44122,country:ca/province:qc/ed:449,country:ca/province:qc
391,Westmount–Saint-Louis,Q3567542,WESTMOUNTSAINTLOUIS,39462,country:ca/province:qc/ed:391,country:ca/province:qc
