MS_FB,MS_FB_PARE,Name,WIKIDATA
country:ca/csd:2466023/district:1.1,country:ca/csd:2466023,Sault-au-Récollet,Q47455983
country:ca/csd:2466023/district:1.2,country:ca/csd:2466023,Saint-Sulpice,Q47455982
country:ca/csd:2466023/district:1.3,country:ca/csd:2466023,Ahuntsic,Q47455979
country:ca/csd:2466023/district:1.4,country:ca/csd:2466023,Bordeaux-Cartierville,Q47455981
country:ca/csd:2466023/district:3.1,country:ca/csd:2466023,Darlington,Q47455987
country:ca/csd:2466023/district:3.2,country:ca/csd:2466023,Côte-des-Neiges,Q47455986
country:ca/csd:2466023/district:3.3,country:ca/csd:2466023,Snowdon,Q47455990
country:ca/csd:2466023/district:3.4,country:ca/csd:2466023,Notre-Dame-de-Grâce,Q47455989
country:ca/csd:2466023/district:3.5,country:ca/csd:2466023,Loyola,Q47455988
country:ca/csd:2466023/district:5.1,country:ca/csd:2466023,Sault-Saint-Louis,Q47455994
country:ca/csd:2466023/district:5.2,country:ca/csd:2466023,Cecil-P.-Newman,Q47455993
country:ca/csd:2466023/district:7.1,country:ca/csd:2466023,Tétreaultville,Q47456003
country:ca/csd:2466023/district:7.2,country:ca/csd:2466023,Maisonneuve—Longue-Pointe,Q47456002
country:ca/csd:2466023/district:7.3,country:ca/csd:2466023,Hochelaga,Q47456000
country:ca/csd:2466023/district:7.4,country:ca/csd:2466023,Louis-Riel,Q47456001
country:ca/csd:2466023/district:8.1,country:ca/csd:2466023,Marie-Clarac,Q47456004
country:ca/csd:2466023/district:8.2,country:ca/csd:2466023,Ovide-Clermont,Q47456005
country:ca/csd:2466023/district:10.1,country:ca/csd:2466023,Bois-de-Liesse,Q47456007
country:ca/csd:2466023/district:10.2,country:ca/csd:2466023,Cap-Saint-Jacques,Q47456009
country:ca/csd:2466023/district:11.1,country:ca/csd:2466023,Mile-End,Q47455997
country:ca/csd:2466023/district:11.2,country:ca/csd:2466023,DeLorimier,Q47455995
country:ca/csd:2466023/district:11.3,country:ca/csd:2466023,Jeanne-Mance,Q47455996
country:ca/csd:2466023/district:12.1,country:ca/csd:2466023,La Pointe-aux-Prairies,Q47456010
country:ca/csd:2466023/district:12.2,country:ca/csd:2466023,Pointe-aux-Trembles,Q47456011
country:ca/csd:2466023/district:12.3,country:ca/csd:2466023,Rivière-des-Prairies,Q47456012
country:ca/csd:2466023/district:13.1,country:ca/csd:2466023,Saint-Édouard,Q47456015
country:ca/csd:2466023/district:13.2,country:ca/csd:2466023,Étienne-Desmarteau,Q47456013
country:ca/csd:2466023/district:13.3,country:ca/csd:2466023,Vieux-Rosemont,Q47456017
country:ca/csd:2466023/district:13.4,country:ca/csd:2466023,Marie-Victorin,Q47456014
country:ca/csd:2466023/district:14.1,country:ca/csd:2466023,Côte-de-Liesse,Q47456018
country:ca/csd:2466023/district:14.2,country:ca/csd:2466023,Norman-McLaren,Q47456019
country:ca/csd:2466023/district:15.1,country:ca/csd:2466023,Saint-Léonard-Est,Q47456020
country:ca/csd:2466023/district:15.2,country:ca/csd:2466023,Saint-Léonard-Ouest,Q47456022
country:ca/csd:2466023/district:16.1,country:ca/csd:2466023,Saint-Henri—Petite-Bourgogne—Pointe-Saint-Charles,Q47455998
country:ca/csd:2466023/district:16.2,country:ca/csd:2466023,Saint-Paul—Émard,Q47455999
country:ca/csd:2466023/district:17.1,country:ca/csd:2466023,Champlain—L'Île-des-Soeurs,Q47456024
country:ca/csd:2466023/district:17.2,country:ca/csd:2466023,Desmarchais-Crawford,Q47456025
country:ca/csd:2466023/district:18.1,country:ca/csd:2466023,Peter-McGill,Q47456026
country:ca/csd:2466023/district:18.2,country:ca/csd:2466023,Saint-Jacques,Q47456027
country:ca/csd:2466023/district:18.3,country:ca/csd:2466023,Sainte-Marie,Q47456028
country:ca/csd:2466023/district:19.1,country:ca/csd:2466023,Saint-Michel,Q47456023
country:ca/csd:2466023/district:19.2,country:ca/csd:2466023,François-Perrault,Q47456029
country:ca/csd:2466023/district:19.3,country:ca/csd:2466023,Villeray,Q47456031
country:ca/csd:2466023/district:19.4,country:ca/csd:2466023,Parc-Extension,Q47456030
