id,MS_FB,MS_FB_PARE,Name,WIKIDATA
962,country:ca/territory:nu/ed-tmp:962,country:ca/territory:nu,Aggu,Q16209592
992,country:ca/territory:nu/ed-tmp:992,country:ca/territory:nu,Aivilik,Q12626632
974,country:ca/territory:nu/ed-tmp:974,country:ca/territory:nu,Amittuq,Q4746949
995,country:ca/territory:nu/ed-tmp:995,country:ca/territory:nu,Arviat North-Whale Cove,Q16209623
998,country:ca/territory:nu/ed-tmp:998,country:ca/territory:nu,Arviat South,Q16209633
986,country:ca/territory:nu/ed-tmp:986,country:ca/territory:nu,Baker Lake,Q4849172
980,country:ca/territory:nu/ed-tmp:980,country:ca/territory:nu,Cambridge Bay,Q5025357
1001,country:ca/territory:nu/ed-tmp:1001,country:ca/territory:nu,Gjoa Haven,Q17067571
1004,country:ca/territory:nu/ed-tmp:1004,country:ca/territory:nu,Hudson Bay,Q613190
1007,country:ca/territory:nu/ed-tmp:1007,country:ca/territory:nu,Iqaluit-Manirajak,Q17070798
1010,country:ca/territory:nu/ed-tmp:1010,country:ca/territory:nu,Iqaluit-Niaqunnguu,Q16210212
1013,country:ca/territory:nu/ed-tmp:1013,country:ca/territory:nu,Iqaluit-Sinaa,Q16210219
1016,country:ca/territory:nu/ed-tmp:1016,country:ca/territory:nu,Iqaluit-Tasiluk,Q17070816
983,country:ca/territory:nu/ed-tmp:983,country:ca/territory:nu,Kugluktuk,Q6441985
977,country:ca/territory:nu/ed-tmp:977,country:ca/territory:nu,Netsilik,Q16211071
971,country:ca/territory:nu/ed-tmp:971,country:ca/territory:nu,Pangnirtung,Q14501868
965,country:ca/territory:nu/ed-tmp:965,country:ca/territory:nu,Quttiktuq,Q7273020
1019,country:ca/territory:nu/ed-tmp:1019,country:ca/territory:nu,Rankin Inlet North-Chesterfield Inlet,Q16211482
1022,country:ca/territory:nu/ed-tmp:1022,country:ca/territory:nu,Rankin Inlet South,Q16211495
989,country:ca/territory:nu/ed-tmp:989,country:ca/territory:nu,South Baffin,Q7566226
968,country:ca/territory:nu/ed-tmp:968,country:ca/territory:nu,Tununiq,Q7853354
1025,country:ca/territory:nu/ed-tmp:1025,country:ca/territory:nu,Uqqummiut,Q7899516
