WIKIDATA,NAME_EN,ID,WARD,MS_FB_PARE,MS_FB
Q56071355,Ward 1,1,1,country:ca/csd:3525005,country:ca/csd:3525005/ward:1
Q56071356,Ward 2,43,2,country:ca/csd:3525005,country:ca/csd:3525005/ward:2
Q56071357,Ward 3,42,3,country:ca/csd:3525005,country:ca/csd:3525005/ward:3
Q56071358,Ward 6,5,6,country:ca/csd:3525005,country:ca/csd:3525005/ward:6
Q56071359,Ward 7,6,7,country:ca/csd:3525005,country:ca/csd:3525005/ward:7
Q56071360,Ward 8,7,8,country:ca/csd:3525005,country:ca/csd:3525005/ward:8
Q56071361,Ward 9,8,9,country:ca/csd:3525005,country:ca/csd:3525005/ward:9
Q56071362,Ward 11,9,11,country:ca/csd:3525005,country:ca/csd:3525005/ward:11
Q56071363,Ward 12,10,12,country:ca/csd:3525005,country:ca/csd:3525005/ward:12
Q56071364,Ward 13,11,13,country:ca/csd:3525005,country:ca/csd:3525005/ward:13
Q56071365,Ward 14,12,14,country:ca/csd:3525005,country:ca/csd:3525005/ward:14
Q56071366,Ward 15,13,15,country:ca/csd:3525005,country:ca/csd:3525005/ward:15
Q56071367,Ward 5,14,5,country:ca/csd:3525005,country:ca/csd:3525005/ward:5
Q56071368,Ward 10,15,10,country:ca/csd:3525005,country:ca/csd:3525005/ward:10
Q56071369,Ward 4,41,4,country:ca/csd:3525005,country:ca/csd:3525005/ward:4
