id,MS_FB,MS_FB_PARE,name,WIKIDATA
ocd-division/country:ca/province:ns/ed:1,country:ca/province:ns/ed:1,country:ca/province:ns,Annapolis,Q4767958
ocd-division/country:ca/province:ns/ed:2,country:ca/province:ns/ed:2,country:ca/province:ns,Antigonish,Q4774773
ocd-division/country:ca/province:ns/ed:3,country:ca/province:ns/ed:3,country:ca/province:ns,Argyle-Barrington,Q16251674
ocd-division/country:ca/province:ns/ed:4,country:ca/province:ns/ed:4,country:ca/province:ns,Bedford,Q4879093
ocd-division/country:ca/province:ns/ed:5,country:ca/province:ns/ed:5,country:ca/province:ns,Cape Breton Centre,Q5034603
ocd-division/country:ca/province:ns/ed:6,country:ca/province:ns/ed:6,country:ca/province:ns,Cape Breton-Richmond,Q16256447
ocd-division/country:ca/province:ns/ed:7,country:ca/province:ns/ed:7,country:ca/province:ns,Chester-St. Margaret's,Q5093417
ocd-division/country:ca/province:ns/ed:8,country:ca/province:ns/ed:8,country:ca/province:ns,Clare-Digby,Q16258481
ocd-division/country:ca/province:ns/ed:9,country:ca/province:ns/ed:9,country:ca/province:ns,Clayton Park West,Q16258528
ocd-division/country:ca/province:ns/ed:10,country:ca/province:ns/ed:10,country:ca/province:ns,Colchester-Musquodoboit Valley,Q5142072
ocd-division/country:ca/province:ns/ed:11,country:ca/province:ns/ed:11,country:ca/province:ns,Colchester North,Q5142099
ocd-division/country:ca/province:ns/ed:12,country:ca/province:ns/ed:12,country:ca/province:ns,Cole Harbour-Eastern Passage,Q5142651
ocd-division/country:ca/province:ns/ed:13,country:ca/province:ns/ed:13,country:ca/province:ns,Cole Harbour-Portland Valley,Q5142654
ocd-division/country:ca/province:ns/ed:14,country:ca/province:ns/ed:14,country:ca/province:ns,Cumberland North,Q5193931
ocd-division/country:ca/province:ns/ed:15,country:ca/province:ns/ed:15,country:ca/province:ns,Cumberland South,Q5193964
ocd-division/country:ca/province:ns/ed:16,country:ca/province:ns/ed:16,country:ca/province:ns,Dartmouth East,Q5225692
ocd-division/country:ca/province:ns/ed:17,country:ca/province:ns/ed:17,country:ca/province:ns,Dartmouth North,Q5225716
ocd-division/country:ca/province:ns/ed:18,country:ca/province:ns/ed:18,country:ca/province:ns,Preston-Dartmouth,Q17092535
ocd-division/country:ca/province:ns/ed:19,country:ca/province:ns/ed:19,country:ca/province:ns,Dartmouth South,Q5225726
ocd-division/country:ca/province:ns/ed:20,country:ca/province:ns/ed:20,country:ca/province:ns,Guysborough-Eastern Shore-Tracadie,Q17086308
ocd-division/country:ca/province:ns/ed:21,country:ca/province:ns/ed:21,country:ca/province:ns,Eastern Shore,Q5330444
ocd-division/country:ca/province:ns/ed:22,country:ca/province:ns/ed:22,country:ca/province:ns,Fairview-Clayton Park,Q16975633
ocd-division/country:ca/province:ns/ed:23,country:ca/province:ns/ed:23,country:ca/province:ns,Glace Bay,Q5566089
ocd-division/country:ca/province:ns/ed:24,country:ca/province:ns/ed:24,country:ca/province:ns,Halifax Armdale,Q16983123
ocd-division/country:ca/province:ns/ed:25,country:ca/province:ns/ed:25,country:ca/province:ns,Halifax Atlantic,Q5642124
ocd-division/country:ca/province:ns/ed:26,country:ca/province:ns/ed:26,country:ca/province:ns,Halifax Chebucto,Q5642136
ocd-division/country:ca/province:ns/ed:27,country:ca/province:ns/ed:27,country:ca/province:ns,Halifax Citadel-Sable Island,Q5642137
ocd-division/country:ca/province:ns/ed:28,country:ca/province:ns/ed:28,country:ca/province:ns,Halifax Needham,Q5642203
ocd-division/country:ca/province:ns/ed:29,country:ca/province:ns/ed:29,country:ca/province:ns,Hammonds Plains-Lucasville,Q16983194
ocd-division/country:ca/province:ns/ed:30,country:ca/province:ns/ed:30,country:ca/province:ns,Hants East,Q5651309
ocd-division/country:ca/province:ns/ed:31,country:ca/province:ns/ed:31,country:ca/province:ns,Hants West,Q5651314
ocd-division/country:ca/province:ns/ed:32,country:ca/province:ns/ed:32,country:ca/province:ns,Inverness,Q6060198
ocd-division/country:ca/province:ns/ed:33,country:ca/province:ns/ed:33,country:ca/province:ns,Kings North,Q6412965
ocd-division/country:ca/province:ns/ed:34,country:ca/province:ns/ed:34,country:ca/province:ns,Kings South,Q6413019
ocd-division/country:ca/province:ns/ed:35,country:ca/province:ns/ed:35,country:ca/province:ns,Kings West,Q6413033
ocd-division/country:ca/province:ns/ed:36,country:ca/province:ns/ed:36,country:ca/province:ns,Lunenburg,Q6704214
ocd-division/country:ca/province:ns/ed:37,country:ca/province:ns/ed:37,country:ca/province:ns,Lunenburg West,Q6704227
ocd-division/country:ca/province:ns/ed:38,country:ca/province:ns/ed:38,country:ca/province:ns,Northside-Westmount,Q17092063
ocd-division/country:ca/province:ns/ed:39,country:ca/province:ns/ed:39,country:ca/province:ns,Pictou Centre,Q7191125
ocd-division/country:ca/province:ns/ed:40,country:ca/province:ns/ed:40,country:ca/province:ns,Pictou East,Q7191129
ocd-division/country:ca/province:ns/ed:41,country:ca/province:ns/ed:41,country:ca/province:ns,Pictou West,Q7191133
ocd-division/country:ca/province:ns/ed:42,country:ca/province:ns/ed:42,country:ca/province:ns,Queens-Shelburne,Q17092609
ocd-division/country:ca/province:ns/ed:43,country:ca/province:ns/ed:43,country:ca/province:ns,Sackville-Beaver Bank,Q7396845
ocd-division/country:ca/province:ns/ed:44,country:ca/province:ns/ed:44,country:ca/province:ns,Sackville-Cobequid,Q7396846
