ED_ID,BDYSET_ID,ED_ABBREV,ED_NAME,WIKIDATA,GAZETTE_DT,FEAT_AREA,FEAT_PERIM,OBJECTID,MS_FB,MS_FB_PARE
184,10,CQM,Coquitlam-Maillardville,Q16245821,,30211540.654699999839067,27681.507099999998900,185,country:ca/province:bc/ed:cqm-2015,country:ca/province:bc
185,10,CRC,Courtenay-Comox,Q28233156,,1584582047.293800115585327,243217.283399999985704,186,country:ca/province:bc/ed:crc-2015,country:ca/province:bc
186,10,CWV,Cowichan Valley,Q5179710,,1684658846.905999898910522,305113.336899999994785,187,country:ca/province:bc/ed:cwv-2015,country:ca/province:bc
187,10,DLN,Delta North,Q5254699,,31691151.900800000876188,35643.923799999996845,188,country:ca/province:bc/ed:dln-2015,country:ca/province:bc
188,10,DLS,Delta South,Q5254750,,463616698.309300005435944,104603.322199999995064,189,country:ca/province:bc/ed:dls-2015,country:ca/province:bc
189,10,ESM,Esquimalt-Metchosin,Q5399232,,377863639.898199975490570,106577.645099999994272,190,country:ca/province:bc/ed:esm-2015,country:ca/province:bc
190,10,FRN,Fraser-Nicola,Q5493554,,34830348866.375701904296875,1739287.308100000023842,191,country:ca/province:bc/ed:frn-2015,country:ca/province:bc
191,10,KAN,Kamloops-North Thompson,Q6358753,,21641699688.841800689697266,1052539.533300000010058,192,country:ca/province:bc/ed:kan-2015,country:ca/province:bc
192,10,KAS,Kamloops-South Thompson,Q6358751,,2436195520.418399810791016,371175.253199999977369,193,country:ca/province:bc/ed:kas-2015,country:ca/province:bc
193,10,KLA,Kelowna-Lake Country,Q6386421,,1165485302.284399986267090,208692.375700000004144,194,country:ca/province:bc/ed:kla-2015,country:ca/province:bc
194,10,KLM,Kelowna-Mission,Q6386419,,527773587.069999992847443,141164.853200000012293,195,country:ca/province:bc/ed:klm-2015,country:ca/province:bc
195,10,KLW,Kelowna West,Q7989671,,1141947331.730999946594238,205462.200099999987287,196,country:ca/province:bc/ed:klw-2015,country:ca/province:bc
196,10,KOE,Kootenay East,Q6430823,,13210984766.305099487304688,850917.386399999959394,197,country:ca/province:bc/ed:koe-2015,country:ca/province:bc
197,10,KOW,Kootenay West,Q6430837,,12008927144.936000823974609,845665.683700000052340,198,country:ca/province:bc/ed:kow-2015,country:ca/province:bc
198,10,LJF,Langford-Juan de Fuca,Q28233157,,2447241068.354400157928467,296416.351399999985006,199,country:ca/province:bc/ed:ljf-2015,country:ca/province:bc
199,10,LLY,Langley,Q17075368,,58648753.454800002276897,36728.398200000003271,200,country:ca/province:bc/ed:lly-2015,country:ca/province:bc
200,10,LYE,Langley East,Q28233141,,185861599.478899985551834,71421.487299999993411,201,country:ca/province:bc/ed:lye-2015,country:ca/province:bc
201,10,MAM,Maple Ridge-Mission,Q6753959,,392975443.347500026226044,90702.534400000004098,202,country:ca/province:bc/ed:mam-2015,country:ca/province:bc
202,10,MAP,Maple Ridge-Pitt Meadows,Q6753962,,1979882252.904900074005127,373795.035499999998137,203,country:ca/province:bc/ed:map-2015,country:ca/province:bc
203,10,MPR,Mid Island-Pacific Rim,Q28233159,,14098446001.738100051879883,833005.421100000035949,204,country:ca/province:bc/ed:mpr-2015,country:ca/province:bc
204,10,NAN,Nanaimo,Q10857025,,458218862.825399994850159,113789.510899999993853,205,country:ca/province:bc/ed:nan-2015,country:ca/province:bc
205,10,NCW,Nanaimo-North Cowichan,Q6962362,,2699905707.705399990081787,389012.069299999973737,206,country:ca/province:bc/ed:ncw-2015,country:ca/province:bc
