id,MS_FB,MS_FB_PARE,name,WIKIDATA
ocd-division/country:ca/territory:nt/ed:1,country:ca/territory:nt/ed:1,country:ca/territory:nt,Nunakput,Q7069727
ocd-division/country:ca/territory:nt/ed:2,country:ca/territory:nt/ed:2,country:ca/territory:nt,Inuvik Boot Lake,Q6059367
ocd-division/country:ca/territory:nt/ed:3,country:ca/territory:nt/ed:3,country:ca/territory:nt,Inuvik Twin Lakes,Q6059376
ocd-division/country:ca/territory:nt/ed:4,country:ca/territory:nt/ed:4,country:ca/territory:nt,Mackenzie-Delta,Q6724360
ocd-division/country:ca/territory:nt/ed:5,country:ca/territory:nt/ed:5,country:ca/territory:nt,Sahtu,Q7399745
ocd-division/country:ca/territory:nt/ed:6,country:ca/territory:nt/ed:6,country:ca/territory:nt,Nahendeh,Q6959245
ocd-division/country:ca/territory:nt/ed:7,country:ca/territory:nt/ed:7,country:ca/territory:nt,Monfwi,Q6899383
ocd-division/country:ca/territory:nt/ed:8,country:ca/territory:nt/ed:8,country:ca/territory:nt,Tu Nedhé-Wiilideh,Q24190814
ocd-division/country:ca/territory:nt/ed:9,country:ca/territory:nt/ed:9,country:ca/territory:nt,Deh Cho,Q3021281
ocd-division/country:ca/territory:nt/ed:10,country:ca/territory:nt/ed:10,country:ca/territory:nt,Thebacha,Q7777596
ocd-division/country:ca/territory:nt/ed:11,country:ca/territory:nt/ed:11,country:ca/territory:nt,Yellowknife North,Q24190816
ocd-division/country:ca/territory:nt/ed:12,country:ca/territory:nt/ed:12,country:ca/territory:nt,Hay River South,Q5685858
ocd-division/country:ca/territory:nt/ed:13,country:ca/territory:nt/ed:13,country:ca/territory:nt,Hay River North,Q5685861
ocd-division/country:ca/territory:nt/ed:14,country:ca/territory:nt/ed:14,country:ca/territory:nt,Range Lake,Q7292672
ocd-division/country:ca/territory:nt/ed:15,country:ca/territory:nt/ed:15,country:ca/territory:nt,Yellowknife South,Q3572144
ocd-division/country:ca/territory:nt/ed:16,country:ca/territory:nt/ed:16,country:ca/territory:nt,Kam Lake,Q17088445
ocd-division/country:ca/territory:nt/ed:17,country:ca/territory:nt/ed:17,country:ca/territory:nt,Frame Lake,Q5477888
ocd-division/country:ca/territory:nt/ed:18,country:ca/territory:nt/ed:18,country:ca/territory:nt,Yellowknife Centre,Q8051953
ocd-division/country:ca/territory:nt/ed:19,country:ca/territory:nt/ed:19,country:ca/territory:nt,Great Slave,Q5599968
