MS_FB_PARE,MS_FB,NAME,WIKIDATA
country:ca/province:qc,country:ca/csd:2423027,Quebec City,Q2145
country:ca/province:bc,country:ca/csd:5915022,Vancouver,Q24639
country:ca/province:mb,country:ca/csd:4611040,Winnipeg,Q2135
country:ca/province:ab,country:ca/csd:4811061,Edmonton,Q2096
country:ca/province:on,country:ca/csd:3506008,Ottawa,Q1930
country:ca/province:on,country:ca/csd:3520005,Toronto,Q172
country:ca/province:ab,country:ca/csd:4806016,Calgary,Q36312
country:ca/province:ns,country:ca/csd:1209034,Halifax,Q2141
country:ca/province:on,country:ca/csd:3525005,Hamilton,Q133116
country:ca/province:on,country:ca/csd:3539036,London,Q92561
country:ca/province:qc,country:ca/cd:2481,Gatineau,Q141844
country:ca/province:qc,country:ca/ed:24032,Laval,Q141810
country:ca/province:on,country:ca/csd:351005,Mississauga,Q50816
country:ca/province:on,country:ca/csd:3521010,Brampton,Q44198
country:ca/province:qc,country:ca/csd:2466023,Montreal,Q340
