OBJECTID_1,OBJECTID,DIST_ID,PED_Name_E,WIKIDATA,PED_Name_F,Shape_Leng,Shape_Le_1,Shape_Area,MS_FB,MS_FB_PARE
35,36,4,Bathurst West-Beresford,Q16950560,Bathurst-Ouest-Beresford,175703.75987800001,175703.11324100001,670559090.55200004578,country:ca/province:nb/ed:4,country:ca/province:nb
36,37,9,Miramichi Bay-Neguac,Q2879404,Baie-de-Miramichi-Neguac,622001.14011299994,556368.39716499997,6135215505.94999980927,country:ca/province:nb/ed:9,country:ca/province:nb
37,38,10,Miramichi,Q17090633,,113936.85796900000,113936.85796900000,125455682.57500000298,country:ca/province:nb/ed:10,country:ca/province:nb
39,40,17,Dieppe,Q3027487,,33541.99474530000,31390.82010240000,23367189.85470000282,country:ca/province:nb/ed:17,country:ca/province:nb
40,41,25,Gagetown-Petitcodiac,Q16981570,,735018.18406000000,735018.18406000000,3931675909.90000009537,country:ca/province:nb/ed:25,country:ca/province:nb
41,42,27,Hampton,Q16983208,,187099.09536199999,154550.24753500000,547191886.48099994659,country:ca/province:nb/ed:27,country:ca/province:nb
42,43,41,Fredericton North,Q5499248,Fredericton-Nord,20912.51351910000,20912.50549840000,15968863.04010000080,country:ca/province:nb/ed:41,country:ca/province:nb
43,44,47,Victoria-La Valle,Q3113468,Victoria-La-Valle,264762.69600699999,264762.69600699999,2615975895.82999992371,country:ca/province:nb/ed:47,country:ca/province:nb
44,46,1,Restigouche West,Q7316116,Restigouche-Ouest,493305.72512000002,493295.21174699999,7944960826.00000000000,country:ca/province:nb/ed:1,country:ca/province:nb
45,47,34,Kings Centre,Q16989122,Kings-Centre,402784.22956499999,402784.22956499999,1089084514.67000007629,country:ca/province:nb/ed:34,country:ca/province:nb
46,52,7,Shippagan-Lamque-Miscou,Q3216887,,435464.06753200002,435464.06753200002,368333361.48799997568,country:ca/province:nb/ed:7,country:ca/province:nb
47,64,38,Fredericton-Grand Lake,Q16981388,,411329.79016700003,411383.25301200000,2420773390.38000011444,country:ca/province:nb/ed:38,country:ca/province:nb
48,82,48,Edmundston-Madawaska Centre,Q3048153,Edmundston-Madawaska-Centre,218908.35977099999,216651.90686300001,1301425150.36999988556,country:ca/province:nb/ed:48,country:ca/province:nb
49,86,11,Southwest Miramichi-Bay du Vin,Q3315869,Miramichi-Sud-Ouest-Baie-du-Vin,655244.92894300004,611810.45599599998,7040242582.27000045776,country:ca/province:nb/ed:11,country:ca/province:nb
54,1,13,Kent South,Q3195267,Kent-Sud,349105.84578999999,309022.69047799997,2297086061.11000013351,country:ca/province:nb/ed:13,country:ca/province:nb
55,39,14,Shediac Bay-Dieppe,Q17093013,Baie-de-Shediac-Dieppe,156178.86290700000,156178.86290700000,361604386.78500002623,country:ca/province:nb/ed:14,country:ca/province:nb
79,18,42,Fredericton-York,Q16981389,,309352.16848900000,309405.62331300002,2416964740.34000015259,country:ca/province:nb/ed:42,country:ca/province:nb
