FEDUID,ENNAME,FRNAME,PRUID,PRNAME,MS_FB,MS_FB_PARE,WIKIDATA
10001,Avalon,Avalon,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10001-2013,country:ca/province:nl,Q2873260
10002,Bonavista—Burin—Trinity,Bonavista—Burin—Trinity,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10002-2013,country:ca/province:nl,Q16844235
10003,Coast of Bays—Central—Notre Dame,Coast of Bays—Central—Notre Dame,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10003-2013,country:ca/province:nl,Q16949517
10004,Labrador,Labrador,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10004-2013,country:ca/province:nl,Q3214536
10005,Long Range Mountains,Long Range Mountains,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10005-2013,country:ca/province:nl,Q16990299
10006,St. John's East,St. John's-Est,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10006-2013,country:ca/province:nl,Q3495268
10007,St. John's South—Mount Pearl,St. John's-Sud—Mount Pearl,10,Newfoundland and Labrador / Terre-Neuve-et-Labrador,country:ca/ed:10007-2013,country:ca/province:nl,Q3495269
11001,Cardigan,Cardigan,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11001-2013,country:ca/province:pe,Q2938039
11002,Charlottetown,Charlottetown,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11002-2013,country:ca/province:pe,Q2961057
11003,Egmont,Egmont,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11003-2013,country:ca/province:pe,Q3049209
11004,Malpeque,Malpeque,11,Prince Edward Island / Île-du-Prince-Édouard,country:ca/ed:11004-2013,country:ca/province:pe,Q513772
12001,Cape Breton—Canso,Cape Breton—Canso,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12001-2013,country:ca/province:ns,Q2937241
12002,Central Nova,Nova-Centre,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12002-2013,country:ca/province:ns,Q3345304
12003,Cumberland—Colchester,Cumberland—Colchester,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12003-2013,country:ca/province:ns,Q3007524
12004,Dartmouth—Cole Harbour,Dartmouth—Cole Harbour,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12004-2013,country:ca/province:ns,Q3016601
12005,Halifax,Halifax,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12005-2013,country:ca/province:ns,Q2604650
12006,Halifax West,Halifax-Ouest,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12006-2013,country:ca/province:ns,Q3125968
12007,Kings—Hants,Kings—Hants,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12007-2013,country:ca/province:ns,Q3197141
12008,Sackville—Preston—Chezzetcook,Sackville—Preston—Chezzetcook,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12008-2013,country:ca/province:ns,Q3460955
12009,South Shore—St. Margarets,South Shore—St. Margarets,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12009-2013,country:ca/province:ns,Q3492274
12010,Sydney—Victoria,Sydney—Victoria,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12010-2013,country:ca/province:ns,Q3506854
12011,West Nova,Nova-Ouest,12,Nova Scotia / Nouvelle-Écosse,country:ca/ed:12011-2013,country:ca/province:ns,Q3345310
13001,Acadie—Bathurst,Acadie—Bathurst,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13001-2013,country:ca/province:nb,Q2822240
13002,Beauséjour,Beauséjour,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13002-2013,country:ca/province:nb,Q2893293
13003,Fredericton,Fredericton,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13003-2013,country:ca/province:nb,Q3087204
13004,Fundy Royal,Fundy Royal,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13004-2013,country:ca/province:nb,Q267073
13005,Madawaska—Restigouche,Madawaska—Restigouche,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13005-2013,country:ca/province:nb,Q3275454
13006,Miramichi—Grand Lake,Miramichi—Grand Lake,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13006-2013,country:ca/province:nb,Q17000012
13007,Moncton—Riverview—Dieppe,Moncton—Riverview—Dieppe,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13007-2013,country:ca/province:nb,Q3320478
13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13008-2013,country:ca/province:nb,Q3345015
13009,Saint John—Rothesay,Saint John—Rothesay,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13009-2013,country:ca/province:nb,Q16979314
13010,Tobique—Mactaquac,Tobique—Mactaquac,13,New Brunswick / Nouveau-Brunswick,country:ca/ed:13010-2013,country:ca/province:nb,Q614586
