Name,Descriptio,MS_FB,MS_FB_PARE
4,BELFAST - MURRAY RIVER,country:ca/province:pe/ed:4,country:ca/province:pe
5,VERNON RIVER - STRATFORD,country:ca/province:pe/ed:5,country:ca/province:pe
6,STRATFORD - KINLOCK,country:ca/province:pe/ed:6,country:ca/province:pe
7,MORELL - MERMAID,country:ca/province:pe/ed:7,country:ca/province:pe
8,TRACADIE_HILLSBOURGH PARK,country:ca/province:pe/ed:8,country:ca/province:pe
9,YORK - OYSTER BED,country:ca/province:pe/ed:9,country:ca/province:pe
10,CHARLOTTETOWN - SHERWOOD,country:ca/province:pe/ed:10,country:ca/province:pe
11,CHARLOTTETOWN - PARKDALE,country:ca/province:pe/ed:11,country:ca/province:pe
12,CHARLOTTETOWN - VICTORIA PARK,country:ca/province:pe/ed:12,country:ca/province:pe
1,SOURIS - ELMIRA,country:ca/province:pe/ed:1,country:ca/province:pe
2,GEORGETOWN - ST PETERS,country:ca/province:pe/ed:2,country:ca/province:pe
3,MONTAGUE - KILMUIR,country:ca/province:pe/ed:3,country:ca/province:pe
13,CHARLOTTETOWN - BRIGHTON,country:ca/province:pe/ed:13,country:ca/province:pe
14,CHARLOTTETOWN - LEWIS POINT,country:ca/province:pe/ed:14,country:ca/province:pe
15,WEST ROYALTY - SPRINGVALE,country:ca/province:pe/ed:15,country:ca/province:pe
16,CORNWALL - MEADOWBANK,country:ca/province:pe/ed:16,country:ca/province:pe
17,KELLYS CROSS - CUMBERLAND,country:ca/province:pe/ed:17,country:ca/province:pe
18,RUSTICO - EMERALD,country:ca/province:pe/ed:18,country:ca/province:pe
19,BORDEN - KINKORA,country:ca/province:pe/ed:19,country:ca/province:pe
20,KENSINGTON - MALPEQUE,country:ca/province:pe/ed:20,country:ca/province:pe
21,SUMMERSIDE - WILMOT,country:ca/province:pe/ed:21,country:ca/province:pe
22,SUMMERSIDE - ST. ELEANORS,country:ca/province:pe/ed:22,country:ca/province:pe
23,TYNE VALLEY - LINKLETTER,country:ca/province:pe/ed:23,country:ca/province:pe
24,EVANGELINE - MISCOUCHE,country:ca/province:pe/ed:24,country:ca/province:pe
25,OLEARY - INVERNESS,country:ca/province:pe/ed:25,country:ca/province:pe
26,ALBERTON - ROSEVILLE,country:ca/province:pe/ed:26,country:ca/province:pe
27,TIGNISH - PALMER ROAD,country:ca/province:pe/ed:27,country:ca/province:pe
